"Notes"	"State"	"State Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"California"	"06"	"2000"	"2000"	33987977
	"California"	"06"	"2001"	"2001"	34479458
	"California"	"06"	"2002"	"2002"	34871843
	"California"	"06"	"2003"	"2003"	35253159
	"California"	"06"	"2004"	"2004"	35574576
	"California"	"06"	"2005"	"2005"	35827943
	"California"	"06"	"2006"	"2006"	36021202
	"California"	"06"	"2007"	"2007"	36250311
	"California"	"06"	"2008"	"2008"	36604337
	"California"	"06"	"2009"	"2009"	36961229
	"California"	"06"	"2010"	"2010"	37319502
	"California"	"06"	"2011"	"2011"	37638369
	"California"	"06"	"2012"	"2012"	37948800
	"California"	"06"	"2013"	"2013"	38260787
	"California"	"06"	"2014"	"2014"	38596972
	"California"	"06"	"2015"	"2015"	38918045
	"California"	"06"	"2016"	"2016"	39167117
	"California"	"06"	"2017"	"2017"	39358497
	"California"	"06"	"2018"	"2018"	39461588
	"California"	"06"	"2019"	"2019"	39512223
	"Florida"	"12"	"2000"	"2000"	16047515
	"Florida"	"12"	"2001"	"2001"	16356966
	"Florida"	"12"	"2002"	"2002"	16689370
	"Florida"	"12"	"2003"	"2003"	17004085
	"Florida"	"12"	"2004"	"2004"	17415318
	"Florida"	"12"	"2005"	"2005"	17842038
	"Florida"	"12"	"2006"	"2006"	18166990
	"Florida"	"12"	"2007"	"2007"	18367842
	"Florida"	"12"	"2008"	"2008"	18527305
	"Florida"	"12"	"2009"	"2009"	18652644
	"Florida"	"12"	"2010"	"2010"	18845537
	"Florida"	"12"	"2011"	"2011"	19053237
	"Florida"	"12"	"2012"	"2012"	19297822
	"Florida"	"12"	"2013"	"2013"	19545621
	"Florida"	"12"	"2014"	"2014"	19845911
	"Florida"	"12"	"2015"	"2015"	20209042
	"Florida"	"12"	"2016"	"2016"	20613477
	"Florida"	"12"	"2017"	"2017"	20963613
	"Florida"	"12"	"2018"	"2018"	21244317
	"Florida"	"12"	"2019"	"2019"	21477737
	"Georgia"	"13"	"2000"	"2000"	8227303
	"Georgia"	"13"	"2001"	"2001"	8377038
	"Georgia"	"13"	"2002"	"2002"	8508256
	"Georgia"	"13"	"2003"	"2003"	8622793
	"Georgia"	"13"	"2004"	"2004"	8769252
	"Georgia"	"13"	"2005"	"2005"	8925922
	"Georgia"	"13"	"2006"	"2006"	9155813
	"Georgia"	"13"	"2007"	"2007"	9349988
	"Georgia"	"13"	"2008"	"2008"	9504843
	"Georgia"	"13"	"2009"	"2009"	9620846
	"Georgia"	"13"	"2010"	"2010"	9711881
	"Georgia"	"13"	"2011"	"2011"	9802431
	"Georgia"	"13"	"2012"	"2012"	9901430
	"Georgia"	"13"	"2013"	"2013"	9972479
	"Georgia"	"13"	"2014"	"2014"	10067278
	"Georgia"	"13"	"2015"	"2015"	10178447
	"Georgia"	"13"	"2016"	"2016"	10301890
	"Georgia"	"13"	"2017"	"2017"	10410330
	"Georgia"	"13"	"2018"	"2018"	10511131
	"Georgia"	"13"	"2019"	"2019"	10617423
	"Illinois"	"17"	"2000"	"2000"	12434161
	"Illinois"	"17"	"2001"	"2001"	12488445
	"Illinois"	"17"	"2002"	"2002"	12525556
	"Illinois"	"17"	"2003"	"2003"	12556006
	"Illinois"	"17"	"2004"	"2004"	12589773
	"Illinois"	"17"	"2005"	"2005"	12609903
	"Illinois"	"17"	"2006"	"2006"	12643955
	"Illinois"	"17"	"2007"	"2007"	12695866
	"Illinois"	"17"	"2008"	"2008"	12747038
	"Illinois"	"17"	"2009"	"2009"	12796778
	"Illinois"	"17"	"2010"	"2010"	12840503
	"Illinois"	"17"	"2011"	"2011"	12867454
	"Illinois"	"17"	"2012"	"2012"	12882510
	"Illinois"	"17"	"2013"	"2013"	12895129
	"Illinois"	"17"	"2014"	"2014"	12884493
	"Illinois"	"17"	"2015"	"2015"	12858913
	"Illinois"	"17"	"2016"	"2016"	12820527
	"Illinois"	"17"	"2017"	"2017"	12778828
	"Illinois"	"17"	"2018"	"2018"	12723071
	"Illinois"	"17"	"2019"	"2019"	12671821
	"Iowa"	"19"	"2000"	"2000"	2929067
	"Iowa"	"19"	"2001"	"2001"	2931997
	"Iowa"	"19"	"2002"	"2002"	2934234
	"Iowa"	"19"	"2003"	"2003"	2941999
	"Iowa"	"19"	"2004"	"2004"	2953635
	"Iowa"	"19"	"2005"	"2005"	2964454
	"Iowa"	"19"	"2006"	"2006"	2982644
	"Iowa"	"19"	"2007"	"2007"	2999212
	"Iowa"	"19"	"2008"	"2008"	3016734
	"Iowa"	"19"	"2009"	"2009"	3032870
	"Iowa"	"19"	"2010"	"2010"	3050745
	"Iowa"	"19"	"2011"	"2011"	3066336
	"Iowa"	"19"	"2012"	"2012"	3076190
	"Iowa"	"19"	"2013"	"2013"	3092997
	"Iowa"	"19"	"2014"	"2014"	3109350
	"Iowa"	"19"	"2015"	"2015"	3120960
	"Iowa"	"19"	"2016"	"2016"	3131371
	"Iowa"	"19"	"2017"	"2017"	3141550
	"Iowa"	"19"	"2018"	"2018"	3148618
	"Iowa"	"19"	"2019"	"2019"	3155070
	"Kansas"	"20"	"2000"	"2000"	2693681
	"Kansas"	"20"	"2001"	"2001"	2702162
	"Kansas"	"20"	"2002"	"2002"	2713535
	"Kansas"	"20"	"2003"	"2003"	2723004
	"Kansas"	"20"	"2004"	"2004"	2734373
	"Kansas"	"20"	"2005"	"2005"	2745299
	"Kansas"	"20"	"2006"	"2006"	2762931
	"Kansas"	"20"	"2007"	"2007"	2783785
	"Kansas"	"20"	"2008"	"2008"	2808076
	"Kansas"	"20"	"2009"	"2009"	2832704
	"Kansas"	"20"	"2010"	"2010"	2858190
	"Kansas"	"20"	"2011"	"2011"	2869225
	"Kansas"	"20"	"2012"	"2012"	2885257
	"Kansas"	"20"	"2013"	"2013"	2893212
	"Kansas"	"20"	"2014"	"2014"	2900475
	"Kansas"	"20"	"2015"	"2015"	2909011
	"Kansas"	"20"	"2016"	"2016"	2910844
	"Kansas"	"20"	"2017"	"2017"	2908718
	"Kansas"	"20"	"2018"	"2018"	2911359
	"Kansas"	"20"	"2019"	"2019"	2913314
	"Maryland"	"24"	"2000"	"2000"	5311034
	"Maryland"	"24"	"2001"	"2001"	5374691
	"Maryland"	"24"	"2002"	"2002"	5440389
	"Maryland"	"24"	"2003"	"2003"	5496269
	"Maryland"	"24"	"2004"	"2004"	5546935
	"Maryland"	"24"	"2005"	"2005"	5592379
	"Maryland"	"24"	"2006"	"2006"	5627367
	"Maryland"	"24"	"2007"	"2007"	5653408
	"Maryland"	"24"	"2008"	"2008"	5684965
	"Maryland"	"24"	"2009"	"2009"	5730388
	"Maryland"	"24"	"2010"	"2010"	5788645
	"Maryland"	"24"	"2011"	"2011"	5839419
	"Maryland"	"24"	"2012"	"2012"	5886992
	"Maryland"	"24"	"2013"	"2013"	5923188
	"Maryland"	"24"	"2014"	"2014"	5957283
	"Maryland"	"24"	"2015"	"2015"	5985562
	"Maryland"	"24"	"2016"	"2016"	6003323
	"Maryland"	"24"	"2017"	"2017"	6023868
	"Maryland"	"24"	"2018"	"2018"	6035802
	"Maryland"	"24"	"2019"	"2019"	6045680
	"Massachusetts"	"25"	"2000"	"2000"	6361104
	"Massachusetts"	"25"	"2001"	"2001"	6397634
	"Massachusetts"	"25"	"2002"	"2002"	6417206
	"Massachusetts"	"25"	"2003"	"2003"	6422565
	"Massachusetts"	"25"	"2004"	"2004"	6412281
	"Massachusetts"	"25"	"2005"	"2005"	6403290
	"Massachusetts"	"25"	"2006"	"2006"	6410084
	"Massachusetts"	"25"	"2007"	"2007"	6431559
	"Massachusetts"	"25"	"2008"	"2008"	6468967
	"Massachusetts"	"25"	"2009"	"2009"	6517613
	"Massachusetts"	"25"	"2010"	"2010"	6566307
	"Massachusetts"	"25"	"2011"	"2011"	6613583
	"Massachusetts"	"25"	"2012"	"2012"	6663005
	"Massachusetts"	"25"	"2013"	"2013"	6713315
	"Massachusetts"	"25"	"2014"	"2014"	6762596
	"Massachusetts"	"25"	"2015"	"2015"	6794228
	"Massachusetts"	"25"	"2016"	"2016"	6823608
	"Massachusetts"	"25"	"2017"	"2017"	6859789
	"Massachusetts"	"25"	"2018"	"2018"	6882635
	"Massachusetts"	"25"	"2019"	"2019"	6892503
	"Minnesota"	"27"	"2000"	"2000"	4933692
	"Minnesota"	"27"	"2001"	"2001"	4982796
	"Minnesota"	"27"	"2002"	"2002"	5018935
	"Minnesota"	"27"	"2003"	"2003"	5053572
	"Minnesota"	"27"	"2004"	"2004"	5087713
	"Minnesota"	"27"	"2005"	"2005"	5119598
	"Minnesota"	"27"	"2006"	"2006"	5163555
	"Minnesota"	"27"	"2007"	"2007"	5207203
	"Minnesota"	"27"	"2008"	"2008"	5247018
	"Minnesota"	"27"	"2009"	"2009"	5281203
	"Minnesota"	"27"	"2010"	"2010"	5310828
	"Minnesota"	"27"	"2011"	"2011"	5346143
	"Minnesota"	"27"	"2012"	"2012"	5376643
	"Minnesota"	"27"	"2013"	"2013"	5413479
	"Minnesota"	"27"	"2014"	"2014"	5451079
	"Minnesota"	"27"	"2015"	"2015"	5482032
	"Minnesota"	"27"	"2016"	"2016"	5522744
	"Minnesota"	"27"	"2017"	"2017"	5566230
	"Minnesota"	"27"	"2018"	"2018"	5606249
	"Minnesota"	"27"	"2019"	"2019"	5639632
	"Montana"	"30"	"2000"	"2000"	903773
	"Montana"	"30"	"2001"	"2001"	906961
	"Montana"	"30"	"2002"	"2002"	911667
	"Montana"	"30"	"2003"	"2003"	919630
	"Montana"	"30"	"2004"	"2004"	930009
	"Montana"	"30"	"2005"	"2005"	940102
	"Montana"	"30"	"2006"	"2006"	952692
	"Montana"	"30"	"2007"	"2007"	964706
	"Montana"	"30"	"2008"	"2008"	976415
	"Montana"	"30"	"2009"	"2009"	983982
	"Montana"	"30"	"2010"	"2010"	990697
	"Montana"	"30"	"2011"	"2011"	997316
	"Montana"	"30"	"2012"	"2012"	1003783
	"Montana"	"30"	"2013"	"2013"	1013569
	"Montana"	"30"	"2014"	"2014"	1021869
	"Montana"	"30"	"2015"	"2015"	1030475
	"Montana"	"30"	"2016"	"2016"	1040859
	"Montana"	"30"	"2017"	"2017"	1052482
	"Montana"	"30"	"2018"	"2018"	1060665
	"Montana"	"30"	"2019"	"2019"	1068778
	"Nebraska"	"31"	"2000"	"2000"	1713820
	"Nebraska"	"31"	"2001"	"2001"	1719836
	"Nebraska"	"31"	"2002"	"2002"	1728292
	"Nebraska"	"31"	"2003"	"2003"	1738643
