Illinois, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.53,-0.60
200002,2.53,0.67
200003,2.03,-1.06
200004,2.99,-0.73
200005,4.40,0.32
200006,7.34,3.25
200007,4.36,0.72
200008,3.56,0.06
200009,3.81,0.31
200010,2.10,-0.69
200011,3.18,0.42
200012,1.94,-0.39
200101,1.72,-0.41
200102,3.19,1.33
200103,1.22,-1.87
200104,2.84,-0.88
200105,4.35,0.27
200106,3.81,-0.28
200107,3.78,0.14
200108,4.07,0.57
200109,3.37,-0.13
200110,6.08,3.29
200111,2.62,-0.14
200112,2.60,0.27
200201,2.22,0.09
200202,1.83,-0.03
200203,3.36,0.27
200204,5.11,1.39
200205,7.34,3.26
200206,4.02,-0.07
200207,2.60,-1.04
200208,4.19,0.69
200209,2.11,-1.39
200210,3.07,0.28
200211,1.04,-1.72
200212,2.17,-0.16
200301,0.65,-1.48
200302,1.83,-0.03
200303,1.98,-1.11
200304,3.18,-0.54
200305,5.50,1.42
200306,3.79,-0.30
200307,5.00,1.36
200308,2.55,-0.95
200309,4.25,0.75
200310,1.98,-0.81
200311,4.51,1.75
200312,2.56,0.23
200401,1.98,-0.15
200402,0.76,-1.10
200403,4.14,1.05
200404,1.80,-1.92
200405,6.83,2.75
200406,3.17,-0.92
200407,4.13,0.49
200408,5.08,1.58
200409,0.68,-2.82
200410,4.84,2.05
200411,4.76,2.00
200412,1.80,-0.53
200501,5.34,3.21
200502,1.88,0.02
200503,1.56,-1.53
200504,2.57,-1.15
200505,1.74,-2.34
200506,1.87,-2.22
200507,3.23,-0.41
200508,3.68,0.18
200509,3.63,0.13
200510,1.26,-1.53
200511,3.51,0.75
200512,1.16,-1.17
200601,2.74,0.61
200602,0.88,-0.98
200603,4.58,1.49
200604,3.79,0.07
200605,3.58,-0.50
200606,2.98,-1.11
200607,4.09,0.45
200608,4.05,0.55
200609,3.43,-0.07
200610,3.80,1.01
200611,3.32,0.56
200612,3.40,1.07
200701,2.93,0.80
200702,2.31,0.45
200703,3.21,0.12
200704,3.52,-0.20
200705,2.24,-1.84
200706,4.13,0.04
200707,3.31,-0.33
200708,4.36,0.86
200709,1.59,-1.91
200710,3.50,0.71
200711,1.72,-1.04
200712,3.87,1.54
200801,2.43,0.30
200802,4.40,2.54
200803,4.53,1.44
200804,4.34,0.62
200805,5.36,1.28
200806,5.49,1.40
200807,5.91,2.27
200808,1.93,-1.57
200809,7.62,4.12
200810,2.42,-0.37
200811,1.49,-1.27
200812,4.25,1.92
200901,1.01,-1.12
200902,2.43,0.57
200903,4.05,0.96
200904,6.16,2.44
200905,5.65,1.57
200906,5.12,1.03
200907,4.59,0.95
200908,4.72,1.22
200909,2.28,-1.22
200910,8.49,5.70
200911,2.48,-0.28
200912,3.98,1.65
201001,1.44,-0.69
201002,1.53,-0.33
201003,2.74,-0.35
201004,3.36,-0.36
201005,5.40,1.32
201006,7.71,3.62
201007,5.35,1.71
201008,3.18,-0.32
201009,3.73,0.23
201010,1.32,-1.47
201011,3.15,0.39
201012,1.77,-0.56
201101,1.19,-0.94
201102,3.24,1.38
201103,2.72,-0.37
201104,7.62,3.90
201105,5.28,1.20
201106,6.69,2.60
201107,3.61,-0.03
201108,1.87,-1.63
201109,3.56,0.06
201110,1.80,-0.99
201111,5.17,2.41
201112,3.35,1.02
201201,1.89,-0.24
201202,1.48,-0.38
201203,2.08,-1.01
201204,3.13,-0.59
201205,2.47,-1.61
201206,1.73,-2.36
201207,1.40,-2.24
201208,3.50,0.00
201209,5.04,1.54
201210,3.93,1.14
201211,1.21,-1.55
201212,2.25,-0.08
201301,3.81,1.68
201302,2.65,0.79
201303,2.61,-0.48
201304,6.93,3.21
201305,6.57,2.49
201306,5.33,1.24
201307,3.16,-0.48
201308,1.44,-2.06
201309,1.69,-1.81
201310,3.33,0.54
201311,2.49,-0.27
201312,2.48,0.15
201401,1.72,-0.41
201402,2.22,0.36
201403,1.46,-1.63
201404,5.15,1.43
201405,3.29,-0.79
201406,6.77,2.68
201407,3.29,-0.35
201408,5.19,1.69
201409,4.11,0.61
201410,4.33,1.54
201411,1.86,-0.90
201412,1.90,-0.43
201501,1.50,-0.63
201502,1.43,-0.43
201503,2.35,-0.74
201504,3.41,-0.31
201505,5.39,1.31
201506,9.44,5.35
201507,5.21,1.57
201508,3.02,-0.48
201509,3.42,-0.08
201510,1.44,-1.35
201511,5.52,2.76
201512,6.67,4.34
201601,0.86,-1.27
201602,1.31,-0.55
201603,3.35,0.26
201604,3.30,-0.42
201605,4.34,0.26
201606,3.13,-0.96
201607,6.90,3.26
201608,6.77,3.27
201609,3.42,-0.08
201610,2.38,-0.41
201611,2.59,-0.17
201612,1.40,-0.93
201701,2.13,0.00
201702,0.73,-1.13
201703,3.56,0.47
201704,6.88,3.16
201705,5.17,1.09
201706,3.19,-0.90
201707,4.81,1.17
201708,2.40,-1.10
201709,0.83,-2.67
201710,5.00,2.21
201711,2.26,-0.50
201712,0.84,-1.49
201801,1.30,-0.83
201802,4.88,3.02
201803,3.91,0.82
201804,2.42,-1.30
201805,3.80,-0.28
201806,6.29,2.20
201807,3.44,-0.20
201808,4.91,1.41
201809,4.90,1.40
201810,3.68,0.89
201811,3.01,0.25
201812,3.25,0.92
201901,3.31,1.18
201902,3.21,1.35
201903,4.06,0.97
201904,4.58,0.86
201905,8.16,4.08
201906,5.16,1.07
201907,3.05,-0.59
201908,4.05,0.55
201909,5.00,1.50
201910,5.01,2.22
201911,2.40,-0.36
201912,1.88,-0.45
202001,4.37,2.24
