Kansas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.42,-0.25
200002,1.61,0.72
200003,4.16,2.47
200004,1.35,-1.13
200005,2.67,-1.18
200006,4.25,0.24
200007,3.68,0.33
200008,0.62,-2.48
200009,1.01,-1.81
200010,3.98,1.98
200011,1.24,-0.11
200012,0.49,-0.36
200101,1.31,0.64
200102,2.46,1.57
200103,1.48,-0.21
200104,1.81,-0.67
200105,5.26,1.41
200106,3.81,-0.20
200107,3.71,0.36
200108,2.40,-0.70
200109,3.55,0.73
200110,1.11,-0.89
200111,0.58,-0.77
200112,0.27,-0.58
200201,1.06,0.39
200202,0.42,-0.47
200203,0.53,-1.16
200204,2.34,-0.14
200205,3.90,0.05
200206,2.74,-1.27
200207,1.72,-1.63
200208,3.09,-0.01
200209,1.50,-1.32
200210,4.43,2.43
200211,0.24,-1.11
200212,0.47,-0.38
200301,0.18,-0.49
200302,1.15,0.26
200303,2.22,0.53
200304,3.23,0.75
200305,3.47,-0.38
200306,4.19,0.18
200307,0.85,-2.50
200308,4.31,1.21
200309,2.51,-0.31
200310,1.21,-0.79
200311,0.64,-0.71
200312,1.15,0.30
200401,0.83,0.16
200402,0.86,-0.03
200403,3.38,1.69
200404,2.50,0.02
200405,2.47,-1.38
200406,5.34,1.33
200407,5.81,2.46
200408,2.51,-0.59
200409,2.15,-0.67
200410,2.29,0.29
200411,2.47,1.12
200412,0.30,-0.55
200501,1.77,1.10
200502,1.59,0.70
200503,1.37,-0.32
200504,2.02,-0.46
200505,3.18,-0.67
200506,6.03,2.02
200507,3.22,-0.13
200508,5.16,2.06
200509,1.58,-1.24
200510,2.58,0.58
200511,0.68,-0.67
200512,0.42,-0.43
200601,0.30,-0.37
200602,0.01,-0.88
200603,1.87,0.18
200604,2.43,-0.05
200605,2.76,-1.09
200606,3.02,-0.99
200607,2.39,-0.96
200608,4.77,1.67
200609,1.90,-0.92
200610,2.14,0.14
200611,0.47,-0.88
200612,2.67,1.82
200701,0.89,0.22
200702,0.88,-0.01
200703,3.44,1.75
200704,2.98,0.50
200705,5.98,2.13
200706,5.69,1.68
200707,3.35,0.00
200708,2.57,-0.53
200709,2.02,-0.80
200710,2.83,0.83
200711,0.15,-1.20
200712,2.48,1.63
200801,0.40,-0.27
200802,1.38,0.49
200803,1.47,-0.22
200804,2.81,0.33
200805,5.13,1.28
