Maryland, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.15,-0.21
200002,2.30,-0.59
200003,4.95,1.17
200004,4.28,0.80
200005,3.27,-0.46
200006,4.98,1.13
200007,6.39,2.21
200008,4.10,-0.28
200009,5.28,1.72
200010,0.35,-2.76
200011,2.05,-0.93
200012,2.82,-0.47
200101,2.75,-0.61
200102,2.20,-0.69
200103,4.95,1.17
200104,2.06,-1.42
200105,4.44,0.71
200106,4.65,0.80
200107,4.48,0.30
200108,4.31,-0.07
200109,2.40,-1.16
200110,0.92,-2.19
200111,1.01,-1.97
200112,1.85,-1.44
200201,2.32,-1.04
200202,0.58,-2.31
200203,4.22,0.44
200204,3.73,0.25
200205,3.30,-0.43
200206,2.79,-1.06
200207,2.66,-1.52
200208,2.95,-1.43
200209,3.96,0.40
200210,6.26,3.15
200211,4.43,1.45
200212,4.27,0.98
200301,2.25,-1.11
200302,5.86,2.97
200303,4.08,0.30
200304,3.10,-0.38
200305,6.53,2.80
200306,6.89,3.04
200307,5.38,1.20
200308,5.05,0.67
200309,7.85,4.29
200310,4.22,1.11
200311,4.63,1.65
200312,4.90,1.61
200401,2.25,-1.11
200402,2.47,-0.42
200403,2.47,-1.31
200404,5.40,1.92
200405,3.88,0.15
200406,4.40,0.55
200407,5.96,1.78
200408,5.43,1.05
200409,5.26,1.70
200410,1.72,-1.39
200411,4.45,1.47
200412,2.90,-0.39
200501,3.91,0.55
200502,1.96,-0.93
200503,4.49,0.71
200504,3.59,0.11
200505,3.75,0.02
200506,3.09,-0.76
200507,5.62,1.44
200508,3.06,-1.32
200509,0.60,-2.96
200510,7.69,4.58
200511,3.01,0.03
200512,3.26,-0.03
200601,3.62,0.26
200602,1.70,-1.19
200603,0.33,-3.45
200604,3.47,-0.01
200605,2.29,-1.44
200606,9.32,5.47
200607,3.62,-0.56
200608,1.32,-3.06
200609,7.01,3.45
200610,5.09,1.98
200611,5.22,2.24
200612,1.98,-1.31
200701,3.03,-0.33
200702,2.40,-0.49
200703,3.62,-0.16
200704,4.47,0.99
200705,1.37,-2.36
200706,2.92,-0.93
200707,2.47,-1.71
200708,3.90,-0.48
200709,1.30,-2.26
200710,4.59,1.48
200711,1.77,-1.21
200712,4.21,0.92
200801,1.65,-1.71
200802,3.54,0.65
200803,2.95,-0.83
200804,4.72,1.24
200805,6.86,3.13
200806,4.60,0.75
200807,4.21,0.03
200808,2.01,-2.37
200809,4.89,1.33
200810,1.47,-1.64
200811,3.33,0.35
200812,4.77,1.48
200901,2.49,-0.87
200902,0.51,-2.38
200903,2.33,-1.45
200904,4.69,1.21
200905,5.93,2.20
200906,5.43,1.58
200907,3.07,-1.11
200908,5.96,1.58
200909,3.72,0.16
200910,5.75,2.64
200911,4.47,1.49
200912,6.92,3.63
201001,2.77,-0.59
201002,3.43,0.54
201003,4.99,1.21
201004,1.87,-1.61
201005,3.11,-0.62
201006,2.10,-1.75
201007,3.79,-0.39
201008,4.34,-0.04
201009,5.24,1.68
201010,4.83,1.72
201011,2.14,-0.84
201012,2.28,-1.01
201101,2.38,-0.98
201102,2.27,-0.62
201103,5.04,1.26
201104,4.77,1.29
201105,3.20,-0.53
201106,2.54,-1.31
201107,3.29,-0.89
201108,8.86,4.48
201109,8.03,4.47
201110,3.67,0.56
201111,3.42,0.44
201112,3.64,0.35
201201,2.27,-1.09
201202,2.11,-0.78
201203,2.14,-1.64
201204,2.49,-0.99
201205,3.69,-0.04
201206,2.99,-0.86
201207,3.68,-0.50
201208,4.86,0.48
201209,3.62,0.06
201210,7.94,4.83
201211,0.75,-2.23
201212,3.86,0.57
201301,3.45,0.09
201302,2.22,-0.67
201303,3.25,-0.53
201304,3.07,-0.41
201305,3.20,-0.53
201306,7.46,3.61
201307,4.77,0.59
201308,4.22,-0.16
201309,1.53,-2.03
201310,5.06,1.95
201311,2.73,-0.25
201312,5.08,1.79
201401,2.65,-0.71
201402,4.17,1.28
201403,3.75,-0.03
201404,4.93,1.45
201405,5.18,1.45
201406,3.64,-0.21
201407,3.87,-0.31
201408,3.93,-0.45
201409,2.64,-0.92
201410,3.38,0.27
201411,3.09,0.11
201412,3.53,0.24
201501,3.79,0.43
201502,2.03,-0.86
201503,4.26,0.48
201504,3.63,0.15
201505,2.46,-1.27
201506,9.39,5.54
201507,3.93,-0.25
201508,2.61,-1.77
201509,3.86,0.30
201510,3.71,0.60
201511,2.62,-0.36
201512,4.57,1.28
201601,3.00,-0.36
201602,4.04,1.15
201603,1.77,-2.01
201604,2.13,-1.35
201605,5.93,2.20
201606,4.17,0.32
201607,4.82,0.64
201608,2.78,-1.60
201609,6.59,3.03
201610,2.22,-0.89
201611,1.00,-1.98
201612,3.21,-0.08
201701,3.14,-0.22
201702,1.12,-1.77
201703,3.73,-0.05
201704,3.22,-0.26
201705,5.85,2.12
201706,2.11,-1.74
201707,7.76,3.58
201708,5.57,1.19
201709,2.01,-1.55
201710,3.79,0.68
201711,1.96,-1.02
201712,0.95,-2.34
201801,2.40,-0.96
201802,4.73,1.84
201803,2.78,-1.00
201804,3.75,0.27
201805,7.61,3.88
201806,5.10,1.25
201807,8.20,4.02
201808,4.95,0.57
201809,9.14,5.58
201810,4.04,0.93
201811,6.95,3.97
201812,4.97,1.68
201901,3.26,-0.10
201902,3.61,0.72
201903,4.07,0.29
201904,3.04,-0.44
201905,5.19,1.46
201906,4.23,0.38
201907,4.91,0.73
201908,3.12,-1.26
201909,0.71,-2.85
201910,5.26,2.15
201911,1.71,-1.27
201912,3.60,0.31
202001,3.04,-0.32
