Massachusetts, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.52,-0.12
200002,3.37,0.15
200003,4.42,0.49
200004,5.87,1.97
200005,3.94,0.35
200006,6.20,2.55
200007,5.37,1.69
200008,3.63,-0.27
200009,3.57,-0.22
200010,2.47,-1.03
200011,3.53,-0.47
200012,4.30,0.46
200101,2.20,-1.44
200102,2.78,-0.44
200103,8.75,4.82
200104,1.75,-2.15
200105,3.06,-0.53
200106,5.89,2.24
200107,3.29,-0.39
200108,3.36,-0.54
200109,3.54,-0.25
200110,1.10,-2.40
200111,1.22,-2.78
200112,3.04,-0.80
200201,2.63,-1.01
200202,2.25,-0.97
200203,4.24,0.31
200204,3.77,-0.13
200205,5.43,1.84
200206,4.59,0.94
200207,1.98,-1.70
200208,2.85,-1.05
200209,4.19,0.40
200210,4.16,0.66
200211,5.88,1.88
200212,5.26,1.42
200301,2.83,-0.81
200302,4.05,0.83
200303,4.42,0.49
200304,4.09,0.19
200305,4.17,0.58
200306,5.52,1.87
200307,2.67,-1.01
200308,5.75,1.85
200309,5.34,1.55
200310,5.70,2.20
200311,3.03,-0.97
200312,5.72,1.88
200401,1.52,-2.12
200402,1.77,-1.45
200403,2.47,-1.46
200404,7.32,3.42
200405,3.80,0.21
200406,2.21,-1.44
200407,3.94,0.26
200408,5.60,1.70
200409,7.42,3.63
200410,2.19,-1.31
200411,3.78,-0.22
200412,4.48,0.64
200501,5.02,1.38
200502,2.74,-0.48
200503,4.97,1.04
200504,4.86,0.96
200505,4.62,1.03
200506,2.46,-1.19
200507,3.38,-0.30
200508,3.21,-0.69
200509,2.74,-1.05
200510,14.03,10.53
200511,5.08,1.08
200512,3.90,0.06
200601,5.61,1.97
200602,2.41,-0.81
200603,0.66,-3.27
200604,2.95,-0.95
200605,8.37,4.78
200606,9.49,5.84
200607,3.41,-0.27
200608,4.34,0.44
200609,2.84,-0.95
200610,5.75,2.25
200611,5.54,1.54
200612,2.33,-1.51
200701,3.35,-0.29
200702,2.15,-1.07
200703,5.16,1.23
200704,7.60,3.70
200705,3.29,-0.30
200706,3.07,-0.58
200707,4.59,0.91
200708,1.43,-2.47
200709,2.54,-1.25
200710,3.61,0.11
200711,3.63,-0.37
200712,5.07,1.23
200801,2.57,-1.07
200802,8.50,5.28
200803,5.52,1.59
200804,3.91,0.01
200805,2.21,-1.38
200806,4.46,0.81
200807,6.81,3.13
200808,3.76,-0.14
200809,8.24,4.45
200810,2.84,-0.66
200811,3.81,-0.19
200812,7.07,3.23
200901,3.80,0.16
200902,1.79,-1.43
200903,3.02,-0.91
200904,4.16,0.26
200905,3.83,0.24
200906,5.60,1.95
200907,8.58,4.90
200908,4.72,0.82
200909,2.11,-1.68
200910,5.98,2.48
200911,3.25,-0.75
200912,4.87,1.03
201001,3.35,-0.29
201002,4.45,1.23
201003,10.53,6.60
201004,1.60,-2.30
201005,2.74,-0.85
201006,3.35,-0.30
201007,2.95,-0.73
201008,3.86,-0.04
201009,2.43,-1.36
201010,6.49,2.99
201011,3.82,-0.18
201012,4.06,0.22
201101,3.55,-0.09
201102,4.18,0.96
201103,3.89,-0.04
201104,5.36,1.46
201105,3.67,0.08
201106,5.45,1.80
201107,2.51,-1.17
201108,9.49,5.59
201109,7.26,3.47
201110,7.26,3.76
201111,3.76,-0.24
201112,4.45,0.61
201201,3.22,-0.42
201202,1.08,-2.14
201203,1.66,-2.27
201204,2.90,-1.00
201205,4.79,1.20
201206,4.07,0.42
201207,2.67,-1.01
201208,4.80,0.90
201209,5.34,1.55
201210,4.66,1.16
201211,1.14,-2.86
201212,5.45,1.61
201301,1.92,-1.72
201302,4.25,1.03
201303,3.11,-0.82
201304,2.21,-1.69
201305,5.14,1.55
201306,9.59,5.94
201307,3.86,0.18
201308,3.62,-0.28
201309,3.45,-0.34
201310,1.48,-2.02
201311,3.69,-0.31
201312,4.07,0.23
201401,3.43,-0.21
201402,4.18,0.96
201403,4.51,0.58
201404,3.87,-0.03
201405,3.75,0.16
201406,2.81,-0.84
201407,6.52,2.84
201408,3.07,-0.83
201409,1.43,-2.36
201410,6.21,2.71
201411,4.71,0.71
201412,5.61,1.77
