Minnesota, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.58,-0.21
200002,1.03,0.34
200003,1.21,-0.05
200004,1.44,-0.61
200005,3.65,0.52
200006,4.99,0.88
200007,3.79,0.19
200008,3.47,0.03
200009,1.53,-1.35
200010,1.97,0.05
200011,3.39,2.08
200012,0.93,0.12
200101,0.83,0.04
200102,1.30,0.61
200103,0.55,-0.71
200104,5.30,3.25
200105,4.06,0.93
200106,3.89,-0.22
200107,3.37,-0.23
200108,3.01,-0.43
200109,2.30,-0.58
200110,2.04,0.12
200111,2.07,0.76
200112,0.56,-0.25
200201,0.23,-0.56
200202,0.58,-0.11
200203,1.24,-0.02
200204,2.24,0.19
200205,2.28,-0.85
200206,6.14,2.03
200207,4.94,1.34
200208,5.28,1.84
200209,2.35,-0.53
200210,2.63,0.71
200211,0.26,-1.05
200212,0.42,-0.39
200301,0.23,-0.56
200302,0.44,-0.25
200303,0.89,-0.37
200304,2.05,0.00
200305,3.57,0.44
200306,4.73,0.62
200307,3.19,-0.41
200308,1.41,-2.03
200309,2.90,0.02
200310,1.14,-0.78
200311,0.96,-0.35
200312,0.69,-0.12
200401,0.76,-0.03
200402,0.82,0.13
200403,1.55,0.29
200404,1.37,-0.68
200405,5.63,2.50
200406,2.76,-1.35
200407,4.19,0.59
200408,2.88,-0.56
200409,5.52,2.64
200410,2.88,0.96
200411,0.63,-0.68
200412,0.88,0.07
200501,1.39,0.60
200502,0.75,0.06
200503,0.78,-0.48
200504,1.91,-0.14
200505,4.06,0.93
200506,5.61,1.50
200507,2.59,-1.01
200508,3.42,-0.02
200509,4.46,1.58
200510,2.96,1.04
200511,2.57,1.26
200512,1.10,0.29
200601,0.50,-0.29
200602,0.54,-0.15
200603,1.69,0.43
200604,2.64,0.59
200605,2.64,-0.49
200606,2.65,-1.46
200607,2.00,-1.60
200608,3.62,0.18
200609,3.16,0.28
200610,1.19,-0.73
200611,0.86,-0.45
200612,1.29,0.48
200701,0.44,-0.35
200702,1.08,0.39
200703,2.17,0.91
200704,2.39,0.34
200705,3.04,-0.09
200706,3.58,-0.53
200707,2.17,-1.43
200708,4.10,0.66
200709,4.05,1.17
200710,4.68,2.76
200711,0.28,-1.03
200712,1.23,0.42
200801,0.21,-0.58
200802,0.40,-0.29
200803,0.77,-0.49
200804,3.30,1.25
200805,2.82,-0.31
200806,4.88,0.77
200807,2.99,-0.61
200808,2.12,-1.32
200809,3.36,0.48
200810,3.46,1.54
200811,1.55,0.24
200812,1.48,0.67
200901,0.60,-0.19
200902,1.04,0.35
200903,2.60,1.34
200904,1.60,-0.45
200905,1.74,-1.39
200906,3.35,-0.76
200907,2.77,-0.83
200908,3.88,0.44
200909,1.38,-1.50
200910,5.06,3.14
200911,0.75,-0.56
200912,1.62,0.81
201001,0.89,0.10
201002,0.58,-0.11
201003,0.95,-0.31
201004,1.35,-0.70
201005,3.15,0.02
201006,5.21,1.10
201007,4.95,1.35
201008,4.55,1.11
201009,6.41,3.53
201010,2.25,0.33
201011,1.38,0.07
201012,1.77,0.96
201101,1.05,0.26
201102,0.68,-0.01
201103,1.19,-0.07
201104,2.70,0.65
201105,4.14,1.01
201106,4.18,0.07
201107,4.68,1.08
201108,2.73,-0.71
201109,1.21,-1.67
201110,0.98,-0.94
201111,0.34,-0.97
201112,0.47,-0.34
201201,0.56,-0.23
201202,1.18,0.49
201203,1.63,0.37
201204,2.76,0.71
201205,5.96,2.83
201206,4.36,0.25
201207,3.28,-0.32
201208,2.04,-1.40
201209,0.61,-2.27
201210,1.88,-0.04
201211,0.87,-0.44
201212,1.04,0.23
201301,1.01,0.22
201302,1.16,0.47
201303,1.70,0.44
201304,3.05,1.00
201305,4.39,1.26
201306,5.22,1.11
201307,2.86,-0.74
201308,1.84,-1.60
201309,2.45,-0.43
201310,3.34,1.42
201311,0.62,-0.69
201312,1.37,0.56
201401,0.80,0.01
201402,0.86,0.17
201403,0.87,-0.39
201404,3.70,1.65
201405,3.51,0.38
201406,8.07,3.96
201407,2.50,-1.10
201408,3.72,0.28
201409,2.36,-0.52
201410,1.19,-0.73
201411,0.81,-0.50
201412,0.73,-0.08
201501,0.49,-0.30
201502,0.47,-0.22
201503,0.60,-0.66
201504,1.39,-0.66
201505,5.30,2.17
201506,3.80,-0.31
201507,4.07,0.47
201508,3.89,0.45
201509,2.71,-0.17
201510,2.15,0.23
201511,2.68,1.37
201512,1.91,1.10
201601,0.54,-0.25
201602,0.74,0.05
201603,1.96,0.70
201604,2.15,0.10
201605,2.53,-0.60
201606,4.15,0.04
201607,6.07,2.47
201608,5.31,1.87
201609,4.62,1.74
201610,2.17,0.25
201611,1.72,0.41
201612,1.58,0.77
201701,0.98,0.19
201702,0.97,0.28
201703,0.81,-0.45
201704,2.50,0.45
201705,3.21,0.08
201706,3.76,-0.35
201707,2.64,-0.96
201708,5.23,1.79
201709,3.72,0.84
201710,3.26,1.34
201711,0.51,-0.80
201712,0.71,-0.10
201801,0.57,-0.22
201802,1.02,0.33
201803,1.17,-0.09
201804,1.13,-0.92
201805,2.79,-0.34
201806,5.72,1.61
201807,4.30,0.70
201808,3.11,-0.33
201809,4.32,1.44
201810,3.57,1.65
201811,1.05,-0.26
201812,1.33,0.52
201901,0.65,-0.14
201902,1.72,1.03
201903,1.66,0.40
201904,2.71,0.66
201905,4.11,0.98
201906,3.55,-0.56
201907,4.62,1.02
201908,3.31,-0.13
201909,6.12,3.24
201910,4.22,2.30
201911,1.17,-0.14
201912,1.82,1.01
202001,0.87,0.08
