New York, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.30,0.41
200002,2.88,0.35
200003,3.03,-0.03
200004,5.16,1.83
200005,5.80,2.23
200006,5.32,1.55
200007,4.34,0.54
200008,4.16,0.46
200009,3.69,-0.02
200010,2.34,-1.05
200011,2.74,-0.68
200012,3.48,0.36
200101,1.61,-1.28
200102,2.22,-0.31
200103,4.92,1.86
200104,1.18,-2.15
200105,2.94,-0.63
200106,4.29,0.52
200107,2.40,-1.40
200108,3.11,-0.59
200109,4.13,0.42
200110,2.36,-1.03
200111,2.24,-1.18
200112,2.74,-0.38
200201,2.19,-0.70
200202,2.30,-0.23
200203,3.31,0.25
200204,4.06,0.73
200205,5.34,1.77
200206,5.44,1.67
200207,2.00,-1.80
200208,2.63,-1.07
200209,4.60,0.89
200210,4.31,0.92
200211,3.84,0.42
200212,3.54,0.42
200301,2.51,-0.38
200302,2.52,-0.01
200303,2.81,-0.25
200304,2.65,-0.68
200305,4.83,1.26
200306,4.08,0.31
200307,4.53,0.73
200308,4.60,0.90
200309,5.43,1.72
200310,5.34,1.95
200311,4.30,0.88
200312,4.42,1.30
200401,2.24,-0.65
200402,1.49,-1.04
200403,2.37,-0.69
200404,3.80,0.47
200405,5.57,2.00
200406,2.88,-0.89
200407,6.08,2.28
200408,5.72,2.02
200409,5.32,1.61
200410,2.26,-1.13
200411,3.25,-0.17
200412,4.19,1.07
200501,3.90,1.01
200502,2.14,-0.39
200503,2.66,-0.40
200504,4.73,1.40
200505,1.59,-1.98
200506,3.62,-0.15
200507,4.05,0.25
200508,4.24,0.54
200509,3.88,0.17
200510,8.29,4.90
200511,4.95,1.53
200512,2.80,-0.32
200601,4.07,1.18
200602,2.02,-0.51
200603,1.73,-1.33
200604,3.36,0.03
200605,3.73,0.16
200606,7.16,3.39
200607,5.21,1.41
200608,4.26,0.56
200609,4.44,0.73
200610,6.16,2.77
200611,3.44,0.02
200612,3.31,0.19
200701,3.97,1.08
200702,2.42,-0.11
200703,3.67,0.61
200704,4.92,1.59
200705,1.92,-1.65
200706,2.91,-0.86
200707,4.71,0.91
200708,2.55,-1.15
200709,3.31,-0.40
200710,5.01,1.62
200711,4.25,0.83
200712,4.83,1.71
200801,2.06,-0.83
200802,5.28,2.75
200803,5.15,2.09
200804,2.81,-0.52
200805,2.28,-1.29
200806,4.38,0.61
200807,5.52,1.72
200808,4.06,0.36
