South Carolina, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,5.80,1.97
200002,1.62,-2.28
200003,4.08,-0.20
200004,2.79,-0.55
200005,1.21,-2.37
200006,3.79,-0.89
200007,4.83,-0.71
200008,4.10,-1.18
200009,7.63,3.39
200010,0.02,-2.97
200011,3.50,0.89
200012,1.87,-1.74
200101,2.02,-1.81
200102,2.40,-1.50
200103,6.38,2.10
200104,0.96,-2.38
200105,2.61,-0.97
200106,5.40,0.72
200107,5.24,-0.30
200108,2.66,-2.62
200109,3.72,-0.52
200110,0.88,-2.11
200111,0.98,-1.63
200112,1.47,-2.14
200201,3.49,-0.34
200202,2.06,-1.84
200203,4.28,0.00
200204,1.84,-1.50
200205,3.49,-0.09
200206,3.01,-1.67
200207,3.25,-2.29
200208,5.94,0.66
200209,5.40,1.16
200210,4.73,1.74
200211,4.42,1.81
200212,4.63,1.02
200301,1.76,-2.07
200302,4.14,0.24
200303,7.52,3.24
200304,6.00,2.66
200305,5.72,2.14
200306,6.39,1.71
200307,8.37,2.83
200308,4.61,-0.67
200309,2.98,-1.26
200310,3.53,0.54
200311,1.60,-1.01
200312,2.57,-1.04
200401,1.77,-2.06
200402,5.14,1.24
200403,0.92,-3.36
200404,2.02,-1.32
200405,2.89,-0.69
200406,6.35,1.67
200407,4.96,-0.58
200408,6.99,1.71
200409,8.26,4.02
200410,1.43,-1.56
200411,2.92,0.31
200412,2.20,-1.41
200501,2.02,-1.81
200502,3.82,-0.08
200503,4.87,0.59
200504,2.74,-0.60
200505,3.77,0.19
200506,6.83,2.15
200507,5.79,0.25
200508,4.96,-0.32
200509,0.65,-3.59
200510,4.67,1.68
200511,3.20,0.59
200512,4.19,0.58
200601,3.29,-0.54
200602,2.96,-0.94
200603,1.24,-3.04
200604,2.56,-0.78
200605,2.54,-1.04
200606,6.80,2.12
200607,2.96,-2.58
200608,5.11,-0.17
200609,4.55,0.31
200610,3.03,0.04
200611,4.98,2.37
200612,3.71,0.10
200701,3.66,-0.17
200702,2.54,-1.36
200703,2.57,-1.71
200704,2.54,-0.80
200705,1.44,-2.14
200706,4.72,0.04
200707,3.79,-1.75
200708,2.94,-2.34
200709,2.25,-1.99
200710,2.76,-0.23
200711,0.57,-2.04
200712,5.12,1.51
200801,2.88,-0.95
200802,3.94,0.04
200803,3.44,-0.84
200804,3.19,-0.15
200805,2.74,-0.84
200806,2.35,-2.33
200807,4.69,-0.85
200808,7.08,1.80
200809,4.03,-0.21
200810,4.53,1.54
200811,3.94,1.33
200812,2.96,-0.65
200901,2.05,-1.78
200902,2.00,-1.90
200903,5.11,0.83
200904,3.40,0.06
200905,5.68,2.10
200906,4.04,-0.64
200907,4.25,-1.29
200908,3.65,-1.63
200909,2.91,-1.33
200910,4.79,1.80
200911,4.63,2.02
200912,8.05,4.44
201001,4.92,1.09
201002,3.34,-0.56
201003,3.06,-1.22
201004,1.34,-2.00
201005,3.60,0.02
201006,4.51,-0.17
201007,4.86,-0.68
201008,5.96,0.68
201009,4.91,0.67
201010,1.47,-1.52
201011,1.23,-1.38
201012,1.99,-1.62
201101,1.87,-1.96
201102,3.40,-0.50
201103,5.02,0.74
201104,2.87,-0.47
201105,2.95,-0.63
201106,2.62,-2.06
201107,3.89,-1.65
201108,4.27,-1.01
201109,4.27,0.03
201110,2.25,-0.74
201111,2.85,0.24
201112,1.95,-1.66
201201,2.19,-1.64
