California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,5.09,0.84
200002,6.93,3.08
200003,1.92,-1.29
200004,1.80,0.17
200005,0.94,0.06
200006,0.31,-0.04
200007,0.06,-0.12
200008,0.27,0.03
200009,0.35,-0.10
200010,2.20,1.00
200011,0.79,-1.74
200012,0.77,-2.84
200101,3.52,-0.73
200102,4.42,0.57
200103,2.21,-1.00
200104,1.75,0.12
200105,0.15,-0.73
200106,0.23,-0.12
200107,0.28,0.10
200108,0.05,-0.19
200109,0.30,-0.15
200110,0.65,-0.55
200111,4.21,1.68
200112,5.25,1.64
200201,2.22,-2.03
200202,1.45,-2.40
200203,1.91,-1.30
200204,0.88,-0.75
200205,0.59,-0.29
200206,0.07,-0.28
200207,0.06,-0.12
200208,0.01,-0.23
200209,0.11,-0.34
200210,0.06,-1.14
200211,3.18,0.65
200212,8.14,4.53
200301,1.92,-2.33
200302,2.66,-1.19
200303,2.77,-0.44
200304,3.98,2.35
200305,1.09,0.21
200306,0.04,-0.31
200307,0.22,0.04
200308,0.57,0.33
200309,0.17,-0.28
200310,0.09,-1.11
200311,2.35,-0.18
200312,5.77,2.16
200401,2.27,-1.98
200402,5.88,2.03
200403,1.08,-2.13
200404,0.70,-0.93
200405,0.45,-0.43
200406,0.08,-0.27
200407,0.06,-0.12
200408,0.19,-0.05
200409,0.14,-0.31
200410,3.72,2.52
200411,1.68,-0.85
200412,5.51,1.90
200501,5.56,1.31
200502,4.03,0.18
200503,3.69,0.48
200504,1.79,0.16
200505,2.54,1.66
200506,0.67,0.32
200507,0.14,-0.04
200508,0.29,0.05
200509,0.32,-0.13
200510,1.00,-0.20
200511,2.26,-0.27
200512,7.81,4.20
200601,4.54,0.29
200602,2.69,-1.16
200603,5.41,2.20
200604,4.16,2.53
200605,0.73,-0.15
200606,0.15,-0.20
200607,0.15,-0.03
200608,0.06,-0.18
200609,0.06,-0.39
200610,0.45,-0.75
200611,2.08,-0.45
200612,3.13,-0.48
200701,0.81,-3.44
200702,4.24,0.39
200703,0.74,-2.47
200704,1.27,-0.36
200705,0.32,-0.56
200706,0.12,-0.23
200707,0.18,0.00
200708,0.12,-0.12
200709,0.50,0.05
200710,1.50,0.30
200711,0.82,-1.71
200712,3.21,-0.40
200801,7.11,2.86
200802,2.76,-1.09
200803,0.61,-2.60
200804,0.34,-1.29
200805,0.54,-0.34
200806,0.03,-0.32
200807,0.14,-0.04
200808,0.12,-0.12
200809,0.04,-0.41
200810,0.70,-0.50
200811,2.41,-0.12
200812,3.05,-0.56
200901,1.27,-2.98
200902,4.64,0.79
200903,2.26,-0.95
200904,0.57,-1.06
200905,1.24,0.36
200906,0.60,0.25
200907,0.05,-0.13
200908,0.12,-0.12
200909,0.09,-0.36
200910,2.07,0.87
200911,0.99,-1.54
200912,3.15,-0.46
201001,6.48,2.23
201002,3.65,-0.20
201003,2.19,-1.02
201004,3.47,1.84
201005,1.07,0.19
201006,0.26,-0.09
201007,0.07,-0.11
201008,0.10,-0.14
201009,0.16,-0.29
201010,3.00,1.80
201011,2.60,0.07
201012,8.13,4.52
201101,1.28,-2.97
201102,3.34,-0.51
201103,6.41,3.20
201104,1.10,-0.53
201105,1.44,0.56
201106,0.92,0.57
201107,0.22,0.04
201108,0.10,-0.14
201109,0.28,-0.17
201110,1.54,0.34
201111,1.69,-0.84
201112,0.47,-3.14
201201,3.12,-1.13
201202,1.22,-2.63
201203,4.74,1.53
201204,2.48,0.85
201205,0.20,-0.68
201206,0.32,-0.03
201207,0.26,0.08
201208,0.30,0.06
201209,0.10,-0.35
201210,0.99,-0.21
201211,3.57,1.04
201212,6.15,2.54
201301,1.19,-3.06
201302,0.58,-3.27
201303,1.33,-1.88
201304,0.71,-0.92
201305,0.62,-0.26
