Utah, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.42,0.20
200002,1.92,0.70
200003,1.29,-0.07
200004,0.58,-0.64
200005,0.93,-0.22
200006,0.49,-0.24
200007,0.31,-0.68
200008,1.57,0.36
200009,0.93,-0.13
200010,2.77,1.54
200011,0.68,-0.38
200012,0.64,-0.47
200101,1.02,-0.20
200102,1.24,0.02
200103,1.24,-0.12
200104,1.49,0.27
200105,0.65,-0.50
200106,0.37,-0.36
200107,0.95,-0.04
200108,1.27,0.06
200109,0.31,-0.75
200110,0.51,-0.72
200111,1.52,0.46
200112,1.12,0.01
200201,0.43,-0.79
200202,0.28,-0.94
200203,0.80,-0.56
200204,0.87,-0.35
200205,0.38,-0.77
200206,0.15,-0.58
200207,0.61,-0.38
200208,0.29,-0.92
200209,2.27,1.21
200210,1.32,0.09
200211,0.93,-0.13
200212,0.71,-0.40
200301,0.40,-0.82
200302,1.47,0.25
200303,1.33,-0.03
200304,0.93,-0.29
200305,1.08,-0.07
200306,0.56,-0.17
200307,0.39,-0.60
200308,1.19,-0.02
200309,0.64,-0.42
200310,0.43,-0.80
200311,1.35,0.29
200312,1.76,0.65
200401,0.60,-0.62
200402,1.89,0.67
200403,0.33,-1.03
200404,1.82,0.60
200405,0.63,-0.52
200406,0.66,-0.07
200407,0.82,-0.17
200408,0.89,-0.32
200409,1.22,0.16
200410,3.43,2.20
200411,1.69,0.63
200412,1.29,0.18
200501,2.76,1.54
200502,1.61,0.39
200503,1.63,0.27
200504,1.75,0.53
200505,1.74,0.59
200506,1.43,0.70
200507,0.41,-0.58
200508,1.32,0.11
200509,0.92,-0.14
200510,1.38,0.15
200511,0.65,-0.41
200512,1.08,-0.03
200601,1.35,0.13
200602,0.56,-0.66
200603,2.40,1.04
200604,1.16,-0.06
200605,0.42,-0.73
200606,0.42,-0.31
200607,1.21,0.22
200608,0.90,-0.31
200609,1.40,0.34
200610,3.08,1.85
200611,0.70,-0.36
200612,0.81,-0.30
200701,0.53,-0.69
200702,1.05,-0.17
200703,0.82,-0.54
200704,0.91,-0.31
200705,0.68,-0.47
200706,0.39,-0.34
200707,0.91,-0.08
200708,1.21,0.00
200709,1.40,0.34
200710,0.85,-0.38
200711,0.33,-0.73
200712,2.20,1.09
200801,1.67,0.45
200802,1.53,0.31
200803,0.67,-0.69
200804,0.42,-0.80
200805,1.07,-0.08
200806,0.65,-0.08
200807,0.53,-0.46
200808,0.92,-0.29
200809,0.62,-0.44
200810,0.82,-0.41
200811,1.07,0.01
200812,1.69,0.58
200901,1.12,-0.10
200902,0.98,-0.24
200903,0.79,-0.57
200904,1.56,0.34
200905,1.23,0.08
200906,1.74,1.01
200907,0.49,-0.50
200908,0.39,-0.82
200909,0.75,-0.31
200910,0.79,-0.44
200911,0.40,-0.66
200912,1.56,0.45
201001,1.58,0.36
201002,1.11,-0.11
201003,1.30,-0.06
201004,1.39,0.17
201005,1.24,0.09
201006,0.79,0.06
201007,0.83,-0.16
201008,1.38,0.17
201009,0.26,-0.80
201010,2.57,1.34
201011,1.40,0.34
201012,3.38,2.27
201101,0.39,-0.83
201102,1.21,-0.01
201103,1.27,-0.09
201104,2.02,0.80
201105,2.81,1.66
201106,0.54,-0.19
201107,1.72,0.73
201108,0.96,-0.25
201109,0.96,-0.10
201110,1.42,0.19
201111,0.90,-0.16
201112,0.51,-0.60
201201,0.97,-0.25
201202,1.04,-0.18
201203,0.73,-0.63
201204,0.73,-0.49
201205,0.28,-0.87
201206,0.03,-0.70
201207,1.41,0.42
201208,1.07,-0.14
201209,1.04,-0.02
201210,0.96,-0.27
201211,0.67,-0.39
201212,1.76,0.65
201301,1.01,-0.21
201302,0.52,-0.70
201303,0.73,-0.63
201304,1.28,0.06
201305,0.97,-0.18
201306,0.02,-0.71
201307,1.50,0.51
201308,1.40,0.19
201309,2.74,1.68
201310,1.01,-0.22
201311,1.02,-0.04
201312,1.01,-0.10
201401,0.61,-0.61
201402,1.06,-0.16
201403,0.99,-0.37
201404,0.94,-0.28
201405,1.02,-0.13
201406,0.24,-0.49
201407,1.14,0.15
201408,2.46,1.25
201409,2.66,1.60
201410,0.20,-1.03
201411,0.75,-0.31
201412,1.26,0.15
201501,0.92,-0.30
201502,0.63,-0.59
201503,0.85,-0.51
201504,0.98,-0.24
201505,3.20,2.05
201506,0.97,0.24
201507,1.46,0.47
201508,1.27,0.06
201509,0.88,-0.18
201510,1.80,0.57
201511,1.07,0.01
201512,1.38,0.27
201601,1.42,0.20
201602,0.62,-0.60
201603,1.20,-0.16
201604,1.70,0.48
201605,1.36,0.21
201606,0.33,-0.40
201607,0.62,-0.37
201608,0.94,-0.27
201609,2.08,1.02
201610,0.89,-0.34
201611,0.95,-0.11
201612,1.93,0.82
201701,2.76,1.54
201702,1.54,0.32
201703,1.59,0.23
201704,1.17,-0.05
201705,0.64,-0.51
201706,0.16,-0.57
201707,1.39,0.40
201708,0.94,-0.27
201709,1.54,0.48
201710,0.18,-1.05
201711,0.53,-0.53
201712,0.39,-0.72
201801,0.86,-0.36
201802,0.83,-0.39
201803,1.29,-0.07
201804,0.86,-0.36
201805,1.14,-0.01
201806,0.05,-0.68
201807,0.84,-0.15
201808,1.02,-0.19
201809,0.08,-0.98
201810,2.93,1.70
201811,0.85,-0.21
201812,0.83,-0.28
201901,1.51,0.29
201902,2.31,1.09
201903,2.61,1.25
201904,1.74,0.52
201905,2.94,1.79
201906,0.49,-0.24
201907,0.59,-0.40
201908,0.35,-0.86
201909,0.85,-0.21
201910,0.24,-0.99
201911,1.86,0.80
201912,1.45,0.34
202001,0.72,-0.50
