Massachusetts, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,23.5,-0.6
200002,30.1,5.1
200003,40.6,6.4
200004,45.1,0.4
200005,56.4,0.7
200006,65.1,0.7
200007,67.0,-2.7
200008,67.0,-0.5
200009,60.2,-0.2
200010,50.2,0.2
200011,40.0,0.8
200012,25.0,-3.1
200101,24.6,0.5
200102,27.8,2.8
200103,32.5,-1.7
200104,45.9,1.2
200105,57.8,2.1
200106,67.5,3.1
200107,67.2,-2.5
200108,71.7,4.2
200109,61.9,1.5
200110,51.9,1.9
200111,44.4,5.2
200112,35.9,7.8
200201,32.4,8.3
200202,32.4,7.4
200203,37.1,2.9
200204,48.5,3.8
200205,54.6,-1.1
200206,64.0,-0.4
200207,71.4,1.7
200208,71.4,3.9
200209,64.4,4.0
200210,48.4,-1.6
200211,39.0,-0.2
200212,28.5,0.4
200301,19.0,-5.1
200302,22.8,-2.2
200303,34.5,0.3
200304,42.9,-1.8
200305,54.2,-1.5
200306,64.0,-0.4
200307,71.0,1.3
200308,71.5,4.0
200309,62.6,2.2
200310,48.6,-1.4
200311,42.8,3.6
200312,31.4,3.3
200401,17.3,-6.8
200402,27.4,2.4
200403,36.6,2.4
200404,46.9,2.2
200405,58.5,2.8
200406,63.7,-0.7
200407,69.0,-0.7
200408,69.0,1.5
200409,62.4,2.0
200410,50.0,0.0
200411,40.6,1.4
200412,30.0,1.9
200501,23.0,-1.1
200502,28.2,3.2
200503,31.2,-3.0
200504,48.0,3.3
200505,51.5,-4.2
200506,68.2,3.8
200507,71.4,1.7
200508,72.1,4.6
200509,64.8,4.4
200510,52.1,2.1
200511,42.2,3.0
200512,28.0,-0.1
200601,32.9,8.8
200602,28.2,3.2
200603,35.4,1.2
200604,47.7,3.0
200605,56.1,0.4
200606,66.4,2.0
200607,73.3,3.6
200608,68.3,0.8
200609,60.3,-0.1
200610,50.0,0.0
200611,45.8,6.6
200612,37.0,8.9
200701,29.9,5.8
200702,22.4,-2.6
200703,34.0,-0.2
200704,43.3,-1.4
200705,58.4,2.7
200706,65.6,1.2
200707,70.1,0.4
200708,69.4,1.9
200709,63.3,2.9
200710,56.0,6.0
200711,38.7,-0.5
200712,28.4,0.3
200801,28.2,4.1
200802,28.6,3.6
200803,34.6,0.4
200804,47.9,3.2
200805,54.2,-1.5
200806,67.4,3.0
200807,72.4,2.7
200808,67.2,-0.3
200809,62.4,2.0
200810,49.1,-0.9
200811,39.9,0.7
200812,31.4,3.3
200901,19.8,-4.3
200902,28.6,3.6
200903,35.3,1.1
200904,48.3,3.6
200905,57.0,1.3
200906,62.8,-1.6
200907,67.6,-2.1
200908,71.0,3.5
200909,59.8,-0.6
200910,48.4,-1.6
200911,45.3,6.1
200912,29.0,0.9
201001,25.9,1.8
201002,29.3,4.3
201003,41.4,7.2
201004,50.6,5.9
201005,60.3,4.6
201006,67.6,3.2
201007,74.1,4.4
201008,70.1,2.6
201009,64.6,4.2
201010,51.5,1.5
201011,41.0,1.8
201012,27.8,-0.3
201101,22.4,-1.7
201102,25.5,0.5
201103,35.4,1.2
201104,47.7,3.0
201105,58.5,2.8
201106,65.2,0.8
201107,72.8,3.1
201108,69.8,2.3
201109,64.9,4.5
201110,52.6,2.6
201111,45.4,6.2
201112,35.8,7.7
201201,30.4,6.3
201202,33.6,8.6
201203,44.1,9.9
201204,48.7,4.0
201205,60.4,4.7
201206,65.0,0.6
201207,73.0,3.3
201208,71.5,4.0
201209,61.9,1.5
201210,53.5,3.5
201211,39.2,0.0
201212,34.7,6.6
201301,27.5,3.4
201302,28.4,3.4
201303,34.9,0.7
201304,46.3,1.6
201305,57.7,2.0
201306,67.0,2.6
201307,75.0,5.3
201308,68.0,0.5
201309,60.8,0.4
201310,51.8,1.8
201311,38.8,-0.4
201312,29.4,1.3
201401,23.0,-1.1
201402,24.1,-0.9
201403,29.1,-5.1
201404,45.9,1.2
201405,57.2,1.5
201406,65.9,1.5
201407,71.2,1.5
201408,67.2,-0.3
201409,62.3,1.9
201410,53.3,3.3
201411,38.8,-0.4
201412,34.7,6.6
201501,21.8,-2.3
201502,14.6,-10.4
201503,29.3,-4.9
201504,45.5,0.8
201505,61.8,6.1
201506,63.6,-0.8
201507,71.0,1.3
201508,71.1,3.6
201509,66.2,5.8
201510,50.1,0.1
201511,44.7,5.5
201512,41.8,13.7
201601,28.5,4.4
201602,30.9,5.9
201603,41.0,6.8
201604,45.0,0.3
201605,57.2,1.5
201606,66.1,1.7
201607,72.6,2.9
201608,72.5,5.0
201609,64.6,4.2
201610,52.2,2.2
201611,42.2,3.0
201612,31.0,2.9
201701,31.5,7.4
201702,33.0,8.0
201703,31.5,-2.7
201704,50.2,5.5
201705,55.2,-0.5
201706,66.0,1.6
201707,70.0,0.3
201708,68.0,0.5
201709,65.1,4.7
201710,57.5,7.5
201711,40.3,1.1
201712,26.6,-1.5
201801,24.5,0.4
201802,34.3,9.3
201803,34.8,0.6
201804,42.3,-2.4
201805,60.8,5.1
201806,64.8,0.4
201807,73.3,3.6
201808,73.5,6.0
201809,65.2,4.8
201810,50.3,0.3
201811,37.8,-1.4
201812,32.1,4.0
201901,25.9,1.8
201902,28.5,3.5
201903,33.7,-0.5
201904,47.8,3.1
201905,55.4,-0.3
201906,65.5,1.1
201907,73.9,4.2
201908,69.8,2.3
201909,62.0,1.6
201910,52.5,2.5
201911,37.5,-1.7
201912,30.6,2.5
202001,32.1,8.0
